,AÑO,SEMESTRE,VICTIMA_x,MES,POBLACION TOTAL,TASA_SEMESTRAL
40,2016,1,62,4,3005929.0,2.0625903007023787
41,2016,1,62,4,3005929.0,2.0625903007023787
42,2016,1,62,5,3005929.0,2.0625903007023787
43,2016,1,62,5,3005929.0,2.0625903007023787
44,2016,1,62,5,3005929.0,2.0625903007023787
45,2016,1,62,5,3005929.0,2.0625903007023787
46,2016,1,62,5,3005929.0,2.0625903007023787
47,2016,1,62,5,3005929.0,2.0625903007023787
48,2016,1,62,5,3005929.0,2.0625903007023787
49,2016,1,62,6,3005929.0,2.0625903007023787
50,2016,1,62,6,3005929.0,2.0625903007023787
51,2016,1,62,6,3005929.0,2.0625903007023787
52,2016,1,62,6,3005929.0,2.0625903007023787
53,2016,1,62,6,3005929.0,2.0625903007023787
54,2016,1,62,6,3005929.0,2.0625903007023787
55,2016,1,62,6,3005929.0,2.0625903007023787
56,2016,1,62,6,3005929.0,2.0625903007023787
57,2016,1,62,6,3005929.0,2.0625903007023787
58,2016,1,62,6,3005929.0,2.0625903007023787
59,2016,1,62,6,3005929.0,2.0625903007023787
60,2016,1,62,6,3005929.0,2.0625903007023787
61,2016,1,62,6,3005929.0,2.0625903007023787
62,2016,2,75,7,3005929.0,2.495068912139974
63,2016,2,75,7,3005929.0,2.495068912139974
64,2016,2,75,7,3005929.0,2.495068912139974
65,2016,2,75,7,3005929.0,2.495068912139974
66,2016,2,75,7,3005929.0,2.495068912139974
67,2016,2,75,7,3005929.0,2.495068912139974
68,2016,2,75,7,3005929.0,2.495068912139974
69,2016,2,75,7,3005929.0,2.495068912139974
70,2016,2,75,7,3005929.0,2.495068912139974
71,2016,2,75,7,3005929.0,2.495068912139974
72,2016,2,75,7,3005929.0,2.495068912139974
73,2016,2,75,8,3005929.0,2.495068912139974
74,2016,2,75,8,3005929.0,2.495068912139974
75,2016,2,75,8,3005929.0,2.495068912139974
76,2016,2,75,8,3005929.0,2.495068912139974
77,2016,2,75,8,3005929.0,2.495068912139974
78,2016,2,75,8,3005929.0,2.495068912139974
79,2016,2,75,8,3005929.0,2.495068912139974
80,2016,2,75,8,3005929.0,2.495068912139974
81,2016,2,75,8,3005929.0,2.495068912139974
82,2016,2,75,8,3005929.0,2.495068912139974
83,2016,2,75,8,3005929.0,2.495068912139974
84,2016,2,75,8,3005929.0,2.495068912139974
85,2016,2,75,9,3005929.0,2.495068912139974
86,2016,2,75,9,3005929.0,2.495068912139974
87,2016,2,75,9,3005929.0,2.495068912139974
88,2016,2,75,9,3005929.0,2.495068912139974
89,2016,2,75,9,3005929.0,2.495068912139974
90,2016,2,75,9,3005929.0,2.495068912139974
91,2016,2,75,9,3005929.0,2.495068912139974
92,2016,2,75,9,3005929.0,2.495068912139974
93,2016,2,75,9,3005929.0,2.495068912139974
94,2016,2,75,9,3005929.0,2.495068912139974
95,2016,2,75,9,3005929.0,2.495068912139974
96,2016,2,75,10,3005929.0,2.495068912139974
97,2016,2,75,10,3005929.0,2.495068912139974
98,2016,2,75,10,3005929.0,2.495068912139974
99,2016,2,75,10,3005929.0,2.495068912139974
100,2016,2,75,10,3005929.0,2.495068912139974
101,2016,2,75,10,3005929.0,2.495068912139974
102,2016,2,75,10,3005929.0,2.495068912139974
103,2016,2,75,10,3005929.0,2.495068912139974
